Latitude;Longitude;Meters;kmh
55.6418;91.5471;12184;801
55.6684;91.4498;12184;801
55.6942;91.3556;12192;801
55.7204;91.2591;12184;800
55.7528;91.1396;12192;801
55.7781;91.0454;12184;801
55.8043;90.9481;12184;795
55.8294;90.8538;12192;797
55.8549;90.7580;12192;801
55.8808;90.6603;12184;803
55.9059;90.5650;12184;801
55.9311;90.4693;12184;798
55.9566;90.3719;12192;800
55.9818;90.2750;12192;801
56.0101;90.1660;12184;801
56.0445;90.0326;12192;798
56.0734;89.9197;12192;798
56.1005;89.8135;12192;800
56.1324;89.6881;12192;798
56.1572;89.5898;12184;801
56.1811;89.4946;12192;801
56.2062;89.3942;12192;803
56.2309;89.2956;12184;803
56.2552;89.1974;12192;803
56.2795;89.0992;12184;801
56.3038;89.0002;12184;803
56.3300;88.9014;12192;811
56.3841;88.7515;12184;816
56.4248;88.6426;12184;819
56.4587;88.5517;12184;814
56.4928;88.4599;12192;814
56.5265;88.3689;12184;813
56.5607;88.2761;12184;814
56.5944;88.1842;12192;816
56.6288;88.0904;12184;819
56.6621;87.9991;12184;819
56.6961;87.9054;12184;814
56.7293;87.8139;12184;813
56.7630;87.7204;12192;814
56.7959;87.6287;12192;816
56.8406;87.5036;12184;822
56.8738;87.4105;12192;824
56.9074;87.3157;12192;826
56.9407;87.2211;12192;824
56.9850;87.0954;12184;822
57.0186;86.9994;12192;822
57.0518;86.9043;12184;826
57.0851;86.8084;12192;827
57.1168;86.7168;12192;832
57.1518;86.6151;12184;832
57.1853;86.5174;12192;835
57.2181;86.4215;12192;834
57.2515;86.3234;12184;832
57.2834;86.2294;12192;832
57.3173;86.1287;12184;835
57.3555;86.0152;12184;837
57.3886;85.9164;12192;838
57.4223;85.8154;12192;835
57.4547;85.7176;12192;834
57.4873;85.6190;12192;835
57.5292;85.4920;12192;834
57.5612;85.3939;12184;834
57.5942;85.2925;12184;835
57.6271;85.1914;12184;834
57.6593;85.0919;12184;830
57.6913;84.9927;12192;832
57.7234;84.8929;12192;832
57.7550;84.7941;12192;834
57.7873;84.6931;12192;834
57.8190;84.5930;12184;832
57.8506;84.4933;12184;835
57.8822;84.3930;12184;835
57.9240;84.2597;12184;832
57.9591;84.1471;12192;830
57.9956;84.0292;12184;832
58.0421;83.8785;12192;832
58.0742;83.7739;12192;835
58.1061;83.6700;12184;838
58.1374;83.5668;12192;838
58.1684;83.4644;12184;843
58.1995;83.3614;12184;847
58.2310;83.2559;12192;845
58.2623;83.1514;12192;845
58.2916;83.0527;12192;847
58.3219;82.9403;12184;848
58.3503;82.7434;12184;851
58.3656;82.6183;12192;848
58.3799;82.4997;12192;848
58.3937;82.3843;12192;845
58.4102;82.2444;12192;845
58.4243;82.1243;12184;845
58.4381;82.0054;12192;845
58.4538;81.8690;12184;843
58.4668;81.7551;12192;838
58.4837;81.6048;12192;840
58.4983;81.4741;12184;840
58.5113;81.3567;12184;840
58.5274;81.2097;12192;843
58.5405;81.0888;12184;840
58.5570;80.9349;12192;843
58.5705;80.8077;12192;845
58.5865;80.6556;12192;847
58.5986;80.5385;12192;845
58.6116;80.4119;12192;847
58.6242;80.2883;12192;847
58.6365;80.1654;12184;843
58.6487;80.0436;12192;843
58.6624;79.9045;12192;843
58.6750;79.7749;12192;848
58.6907;79.6381;12184;847
58.7078;79.5199;12192;847
58.7272;79.3868;12184;847
58.7443;79.2694;12192;847
58.7620;79.1457;12184;845
58.7791;79.0258;12184;845
58.7956;78.9087;12184;843
58.8167;78.7591;12184;845
58.8387;78.6012;12192;848
58.8553;78.4799;12184;847
58.8715;78.3609;12184;843
58.8877;78.2423;12192;843
58.9036;78.1243;12192;845
58.9194;78.0057;12184;843
58.9350;77.8881;12192;845
58.9507;77.7684;12192;848
58.9662;77.6495;12192;848
58.9817;77.5290;12184;850
59.0023;77.3689;12184;855
59.0203;77.2271;12184;851
59.0351;77.1098;12192;851
59.0503;76.9879;12184;851
59.0652;76.8671;12192;851
59.0799;76.7476;12192;855
59.0947;76.6262;12192;855
59.1094;76.5045;12192;856
59.1275;76.3524;12192;856
59.1485;76.1768;12184;856
59.1628;76.0545;12184;856
59.1765;75.9368;12192;855
59.1908;75.8131;12192;855
59.2045;75.6932;12192;855
59.2182;75.5712;12192;856
59.2321;75.4470;12184;856
59.2462;75.3205;12192;858
59.2595;75.1984;12184;856
59.2730;75.0747;12192;856
59.2863;74.9513;12192;858
59.2994;74.8283;12192;859
59.3125;74.7043;12192;859
59.3255;74.5794;12184;856
59.3451;74.4030;12192;855
59.3598;74.2810;12184;851
59.3744;74.1586;12192;855
59.3888;74.0364;12184;855
59.4030;73.9139;12184;856
59.4188;73.7764;12184;859
59.4344;73.6393;12192;861
59.4482;73.5165;12184;861
59.4624;73.3896;12184;856
59.4760;73.2662;12192;856
59.4894;73.1441;12192;856
59.5028;73.0203;12192;858
59.5162;72.8959;12192;859
59.5294;72.7717;12184;861
59.5445;72.6285;12192;863
59.5576;72.5030;12192;861
59.5705;72.3784;12184;861
59.5850;72.2360;12192;864
59.5974;72.1124;12184;863
59.6101;71.9859;12192;864
59.6225;71.8609;12184;863
59.6379;71.7035;12192;863
59.6498;71.5805;12192;863
59.6618;71.4550;12184;863
59.6738;71.3273;12192;864
59.6956;71.0945;12184;869
59.7071;70.9692;12192;867
59.7185;70.8433;12184;869
59.7340;70.6703;12192;871
59.7506;70.4811;12192;871
59.7616;70.3541;12192;871
59.7726;70.2259;12192;874
59.7834;70.0985;12184;872
59.7951;69.9580;12184;869
59.8068;69.8157;12192;869
59.8188;69.6685;12192;869
59.8357;69.4578;12192;863
59.8456;69.3316;12192;861
